"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15606","H15 - User should be removed from friends list after clicking unfriend","mobile-chrome","Thu Dec 12 13:52:53 GMT 2024","passed","Thu Dec 12 13:53:08 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","5224","F14 - If user upload the same file again, file is uploaded but with different filename","desktop-chrome","Thu Dec 12 14:07:01 GMT 2024","passed","Thu Dec 12 14:07:06 GMT 2024","Files Page Tests","24-files.spec.ts","",""
"","4760","O1, 06 - Message at top of page and custom keybinds listed correctly","mobile-chrome","Thu Dec 12 14:04:33 GMT 2024","skipped","Thu Dec 12 14:04:38 GMT 2024","Settings Keybinds Tests","13-settings-keybinds.spec.ts","",""
"","5517","I18 - Error message should appear if user inputs chars that are not allowed or exceeds limit","mobile-chrome","Thu Dec 12 14:01:20 GMT 2024","passed","Thu Dec 12 14:01:25 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","6190","K12 - Clicking Pick should open up the finetune color selector","mobile-chrome","Thu Dec 12 14:02:57 GMT 2024","passed","Thu Dec 12 14:03:03 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","4824","I1 - Banner Picture - Tooltip displayed","desktop-chrome","Thu Dec 12 13:59:42 GMT 2024","passed","Thu Dec 12 13:59:47 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","4759","F3, F4 - Amount of Free and Total should appear in Toolbar","desktop-chrome","Thu Dec 12 14:06:10 GMT 2024","passed","Thu Dec 12 14:06:15 GMT 2024","Files Page Tests","24-files.spec.ts","",""
"","5422","L1 - User should be able to toggle on and off emoji conversion","mobile-chrome","Thu Dec 12 14:03:27 GMT 2024","passed","Thu Dec 12 14:03:33 GMT 2024","Settings Messages Tests","10-settings-messages.spec.ts","",""
"","5305","I24 - Clicking LogOut should log user out of the account","mobile-chrome","Thu Dec 12 14:01:53 GMT 2024","passed","Thu Dec 12 14:01:58 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","5385","M5 - User should be able to toggle on and off Echo Cancellation","mobile-chrome","Thu Dec 12 14:03:55 GMT 2024","passed","Thu Dec 12 14:04:00 GMT 2024","Settings Audio and Video Tests","11-settings-audio-video.spec.ts","",""
"","6862","K6, K7 - Font size should have a maximum of 1.50 and can be applied correctly everywhere through the app","mobile-chrome","Thu Dec 12 14:02:33 GMT 2024","passed","Thu Dec 12 14:02:40 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","26774","B7, B57, B58 - Favorites tests","desktop-chrome","Thu Dec 12 13:54:10 GMT 2024","passed","Thu Dec 12 13:54:37 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","0","T4 - Clicking Clear State should clear users state","desktop-chrome","Thu Dec 12 14:05:46 GMT 2024","skipped","Thu Dec 12 14:05:46 GMT 2024","Settings Developer Tests","20-settings-developer.spec.ts","",""
"","5852","T8 - Clicking Test Voice State should open debug voice page","desktop-chrome","Thu Dec 12 14:06:04 GMT 2024","passed","Thu Dec 12 14:06:10 GMT 2024","Settings Developer Tests","20-settings-developer.spec.ts","",""
"","5050","C10 - Textbox should have highlighted border when clicking into Chat Search","desktop-chrome","Thu Dec 12 13:59:37 GMT 2024","passed","Thu Dec 12 13:59:42 GMT 2024","Chats Sidebar Tests","05-chats-sidebar.spec.ts","",""
"","2538","A5 - Settings dropdown should show option to Scramble numberpad and option to stay unlocked","mobile-chrome","Thu Dec 12 13:51:39 GMT 2024","passed","Thu Dec 12 13:51:41 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","5501","R6 and R7 - Made In header text, description and flags displayed","mobile-chrome","Thu Dec 12 14:06:04 GMT 2024","passed","Thu Dec 12 14:06:10 GMT 2024","Settings About Tests","18-settings-about.spec.ts","",""
"","6978","P1, P2 - User should be able to toggle on/off Dyslexic mode and changes are applied everywhere","mobile-chrome","Thu Dec 12 14:05:11 GMT 2024","passed","Thu Dec 12 14:05:18 GMT 2024","Settings Accessibility Tests","15-settings-accessibility.spec.ts","",""
"","8087","A18 - Install Banner validations - Download installer","mobile-chrome","Thu Dec 12 13:52:22 GMT 2024","passed","Thu Dec 12 13:52:30 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","17490","B22 and B50 - Reaction Tests","desktop-chrome","Thu Dec 12 13:55:52 GMT 2024","passed","Thu Dec 12 13:56:10 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","29067","Videocall testing between two users - mute, unmute, fullscreen, expand/collapse call","mobile-chrome","Thu Dec 12 13:58:26 GMT 2024","passed","Thu Dec 12 13:58:55 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","27433","Chat Replies Tests","mobile-chrome","Thu Dec 12 13:57:58 GMT 2024","passed","Thu Dec 12 13:58:26 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","6234","T5 - Highlighted border should appear around Exit DevMode when clicked","mobile-chrome","Thu Dec 12 14:06:34 GMT 2024","passed","Thu Dec 12 14:06:41 GMT 2024","Settings Developer Tests","20-settings-developer.spec.ts","",""
